"ID_HEX|TRADUCAO
0x004C|Master Dragon: "Yohei, guided ones! Thank you from the bottom of my heart." Master Dragon: "Ryan! You've done a great job. Master Dragon: "Alina. Even though you're a woman, you've done your best." Master Dragon: "Bly and Clift helped Alina, too. If I look at you now, my father will surely be impressed.
0x004D|It will be! Master Dragon: ``Torneko. From now on, I will continue to serve the world and people.''
0x004E|things to do
0x004F|Tosukego's experimental person
0x0050|Kotomoa
0x0051|transformation
0x0052|…. Master Dragon: ``From now on, you should live with me in this castle in the sky as a sky person!'' Master Dragon: ``Hmm? What's wrong with that face...? Master Dragon: ``Come to earth with those people.''
0x0053|. Do you have a chemical test? ……………. Master Dragon: “Okay! Now!
0x0054|-. Sky over Suminea
0x0055|Takama Takama Tsukia
0x0056|Ratan... There are no more people like Tamo Tower. Master Dragon: <HERO>! Please be very careful!
0x0057|The book is filled with characters I've never seen before.
0x0058|.
0x0059|There was an old dragon school. ! It was written in ``Reton''. Today, it was written as ``Reiko Niiyo, who will use Doran's birth and defeat''.
0x005A|Romo Tagoradon is here.
0x005B|There was a diary of Tenkujin. ! It was written in a letter that said, ``No matter how hard I try, the Master Dragon will not let go of her who has committed a crime and fallen to the ground.'' Now, the Master Dragon will destroy her happiness in the most cruel way.A tragedy will ensue.
0x005C|I will take her with me no matter what, after she hit the ground before.
0x005D|. It's now here. So no matter how
0x005E|Tedeninkoma
0x005F|….
0x0060|Manya: Hey, not only <HERO>, but also my name has been properly added to history.
0x0061|I guess so?
0x0062|Arena: “We will be left in history.”
0x0063|Like
0x0064|without any activities
0x0065|``Hako
0x0066|Mawano Tora “Wadeso”
0x0067|So it will be passed down from generation to generation.
0x0068|Manya: “That sounds like crap! Why are you calling it an elf?”
0x0069|Kasanora, the land of the Hazori Shikari Resume.
0x006A|Alina: “Finally, there are good people too.”
0x006B|I got the elf to understand.
0x006C|Let's go
0x006D|Mother's love is said to be a hero who overcomes evil.
0x006E|That seems annoying.
0x006F|Arena: “I see, <HERO> is here.
0x0070|Then I returned to earth.
0x0071|Futobe “Hello”
0x0072|Ryan: Return to Earth
0x0073|However, what kind of <HERO> is this?
0x0074|……. Ryan: If you don't mind, join me in the band.
0x0075|Kokakido Tanaka? La hey
0x0076|yeah. Sai.
0x0077|Manya: “Something.
0x0078|``--ka. Raten yabayo shoenchi rettosaa ryanshi dobapo
0x0079|-Pineel is dead. mosquito! I guess it's because of it.
0x007A|Arena: ``Sansurii, I'm safe in the castle.''
0x007B|Komo na na na me! Now that I know it, it's gone.
0x007C|de
0x007D|If anyone wears it, even Kora will be empty, and if the secret method is gone, it will be the ultimate famous sword.
0x007E|Arena “Hirashi Labeli”
0x007F|It's so bad, but it's so boring.
0x0080|I'm more than happy to have been able to wear it!
0x0081|Ryan
0x0082|N...ba Uuseuta Raetesu Nakai Su'oma.
0x0083|Bly: “As expected, it was Sansurii.
0x0084|I wonder if those people are the ones who live in the world of darkness.
0x0085|Minea: The sword in the sky, assisted by Master Dragon, will lead us out of the darkness.
0x0086|Kusuma squid
0x0087|Tasudo ni kirana
0x0088|Ramari Kunsu is rocking the castle
0x0089|But even if it's a human being,
0x008A|Let's take a look at the castle in the sky.
0x008B|Don't lead me like a monster
0x008C|Maa, I talked about it a little bit.
0x008D|tree
0x008E|….
0x008F|Ryan: “We
0x0090|Yomoru... In the world of upper darkness, there are hands
0x0091|Don't get out of there! hand
0x0092|Maybe it's crazy.
0x0093|Minea: Now? Edorerama will surely join us in our battle.
0x0094|My name is Tatama.
0x0095|Tasudo Nikia?
0x0096|A floating monkey
0x0097|That alone is surprising.
0x0098|-Of origin. Everyone knows: ``My goal was to find the sword in the sky, but now I have to fight this monster...oh my.
0x0099|Bly: “Women are like that too.
0x009A|Shitatajika! ! stand up
0x009B|I was able to meet something so special during this time.
0x009C|What is Nagakoma and
0x009D|! Go
0x009E|Re. Toruneko Tagon, a famous long-sentence calligraphy of ``Iterateratatenai''
0x009F|It's only between HEROs.
0x00A0|Is that a word of mouth...?
0x00A1|Arena: ``This time, I'll finally turn into a bully.
0x00A2|<HERO>What do you want to eat when you are in the sky? I went and lost my job.
0x00A3|Modoko
0x00A4|That's the place where human blood was flowing! Okay, I've been on earth for a long time.
0x00A5|Degree Arena
0x00A6|Also the battle. Minea: “Well...
0x00A7|and master dragon too
0x00A8|Noko Sora Mowa.
0x00A9|Manya
0x00AA|Bijanai <HERO>. That and Su
0x00AB|I just called you a hero!
0x00AC|Ryan: <HERO>It's a shame that the Skyman doesn't have wings.
0x00AD|Clift: When Estark wakes up and comes to the surface, now...
0x00AE|too. It's going to be a big deal.
0x00AF|Arena: “We are Estark.
0x00B0|Is it because Rabashi's evolution of Estark was incomplete? Arena: “That’s not fun. I want to fight the full version of Estark!
0x00B1|Ryan: ``I was able to defeat Estark, but now I'm trying to become Uzegoso.''
0x00B2|.
0x00B3|Torneko “The Secret of Evolution”
0x00B4|Should. I'll knock down the seal and destroy it.
0x00B5|I don't think it's small.
0x00B6|Bligh: ``Apparently, the secret of evolution is that no matter how long you seal it or not, it will take a long time.''
0x00B7|As many times as you like
0x00B8|and others…
0x00B9|It seems like a thing.
0x00BA|Manya: ``I've learned a little bit from the secret of evolution.''
0x00BB|Let's see Ryan. If you use the secret of evolution,
0x00BC|If you are a hard worker, you will evolve into a hard worker.
0x00BD|I wonder if it is?
0x00BE|Minea: “My father wants it.”
0x00BF|! Rimo
0x00C0|If not, we will have the secret of evolution.
0x00C1|My life was stolen without a trace
0x00C2|Even though it didn't happen.
0x00C3|Alina: “Do elves hate humans? Come to think of it, the elves at the Twitter Tower also ran away when they saw me.
0x00C4|Tagtakka.
0x00C5|Torneko: “Don’t listen to my mouth.”
0x00C6|At the end
0x00C7|I don't want Ryan to get angry even though I'm going to sleep.
0x00C8|That's the feeling. Torneko: “If Mr. Panon is here,
0x00C9|Wase
0x00CA|I can do things
0x00CB|Nanaa.
0x00CC|Minea: “What a cute elf. My older sister when I was a child.”
0x00CD|Rodero
0x00CE|Manya: Kochi: Ten... It's an elf. Shall I punish you?
0x00CF|A horse-drawn carriage and balloons are waiting outside.
0x00D0|Are you going to go? Please take care!
0x00D1|Even though he doesn't have wings, he can defeat the Emperor of Hell! I can't believe it!
0x00D2|Awesome! Awesome! Hey, come live here with us!
0x00D3|Oh <HERO>! You are the true hero!
0x00D4|Arena: The best choice for a wingless HERO is to return to earth with us!
0x00D5|Ryan: After completing our mission, it seems that the Skylings have finally recognized the <HERO> as our own kind.
0x00D6|Manya: ``Oh, you've missed the view overlooking from this castle.'' Manya: ``The reason we entered the castle in the sky was because we were on a mission to destroy the second Emperor of Hell.
0x00D7|Alina: ``I might never be able to come again, so I'll make sure to burn this view into my eyes!''
0x00D8|Ryan: ``I, a mighty warrior, am standing here in a mysterious castle floating in the sky.'' Ryan: ``Just thinking about that alone makes me feel warm.''
0x00D9|Torneko: ``I just looked through the hole above the ground, and it was incredibly high.'' Torneko: ``I hope it doesn't fall to the ground and break into pieces.
0x00DA|Arena: Wait, Despisaro! Now, quickly, let's jump out of the hole and go to the world of darkness!
0x00DB|Clift: ``I don't like it...I guess the only way to get to the dark world is to jump into that hole.''
0x00DC|Minea: “Is the attack caused by the waves just now a provocation to lure us into a trap?”
0x00DD|Bligh: Since we have enough time to attack the castle, Despisarro may have successfully achieved the ultimate evolution.
0x00DE|Ryan: ``I see. Don't the people in the sky know what an earthquake is?
0x00DF|Clift: Even if the castle doesn't budge, there's still a hole in the clouds... Clift: If the evil wave were to penetrate the clouds beneath our feet, it would fall head over heels on the ground!
0x00E0|Clift: Wow... Is the evil one actually Despisarro?
0x00E1|Arena: Wait, Despisaro! It seems like we were destined to fight someday ever since the martial arts tournament.
0x00E2|Manya: Well, no matter what happens on the ground, you might be safe if you stay here. Manya: I don't want to have nowhere to go back to, so let's go quickly and exterminate the evil one.
0x00E3|Ryan: True peace will never come unless we meet Despisaro, who has obtained the secret of evolution.
0x00E4|Alina: If I had wings, I could fly all the way here without having to climb that boring tower in the sky.
0x00E5|Clift: Do sky people have longer lifespans than us?
0x00E6|Manya: Since humans have come here for the first time in hundreds of years, it would be nice if they could throw us a party.
0x00E7|Bligh: It's been hundreds of years. Even though we don't live for even 100 years...
0x00E8|Minea: I hope Lucia doesn't get punished for dropping the Sword of the Sky...
0x00E9|Alina: ``My arms are weak, but if Lucia had trained, she could have become as strong as me.'' Alina: ``It would be a waste to stop traveling here.
0x00EA|Clift: ``It's not until they're gone that you realize how good a person is.'' Clift: ``No, Lucia was a good girl even when we were together.''
0x00EB|Manya: ``Lucia is a nice girl, but her sensibilities are a little different from the rest of us.'' Manya: ``Well, it can't be helped since she grew up in a place like this.''
0x00EC|Ryan: ``It's sad to think we're saying goodbye here. I should have spent more time with Lucia.''
0x00ED|Manya: ``I'm sure if you could make Skyman dance at the theater in Montbarbara, you'd become a star in no time.''
0x00EE|Torneko: ``It's pretty spectacular. Everyone who lives here has wings, just like Lucia.''
0x00EF|Bligh: ``It's so hot! It's so hot! The wind is touching my bones.''
0x00F0|Clift: Is this castle okay? I wonder if it will slip through the base of the cloud and fall to the ground...
0x00F1|Alina: ``The air is really thin. I think I can improve my stamina by training my body here!
0x00F2|Ryan: ``Now that I think about it, I've come a long way.I never thought I'd come here as a warrior.''
0x00F3|Minea: It was because of <HERO>'s guidance that someone like me was able to enter the castle in the sky.
0x00F4|There is a book called ``History of Butland''. I picked up {7f4b} and read it. Batrea, the founder of Batland, protected Battland from monsters when it was still just a village. At that time, it is said that Batrea was able to protect herself from all kinds of monster attacks with the shield given to her by the god of heaven...
0x00F5|It is a landscape painting depicting mountains in spring.
0x00F6|There are delicious-looking dishes lined up on the table.
0x00F7|There is a theological book called ``Faith and Prayer.'' It seems like something is stuck between the books. A hidden bromide of the arena has appeared!
0x00F8|A portrait of the deceased Queen Santheim is hung here.
0x00F9|The mountains of Santheim territory are vividly depicted.
0x00FA|It looked like it was in disrepair as it had only been repaired with a board. Do you want to hide the wall?
0x00FB|It looks like they are repairing the hole with a board.
0x00FC|Congratulations on your marriage! prince rick princess monica
0x00FD|The martial arts tournament is over! Winner Princess Alina!
0x00FE|Martial arts tournament is over! Congratulations to Princess Alina for winning! !
0x00FF|Martial arts tournament underway!
0x0100|Torneko is dead, so {7f17} cannot be investigated.
0x0101|Torneko: ``Looks like I can't equip it. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x0102|{7f47} {7f05}
0x0103|.... {7f05}
0x0104|{7f11}. {7f05}
0x0105|{7f11}, {7f12}. {7f05}
0x0106|{7f11}, {7f12}, {7f13}. {7f05}
0x0107|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x0108|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x0109|Torneko: “This can be equipped with {7f05}
0x010A|Torneko: "Hmm... It's definitely a weapon, but to be honest, it's just a stick. Torneko: If you're equipped with it, it'll probably be good for relaxing.
0x010B|Torneko picked up {7f17} and put it down.
0x010C|Torneko: "Looks like I can equip it too. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x010D|{7f47} {7f05}
0x010E|.... {7f05}
0x010F|{7f11}. {7f05}
0x0110|{7f11}, {7f12}. {7f05}
0x0111|{7f11}, {7f12}, {7f13}. {7f05}
0x0112|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x0113|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x0114|Torneko: “This can be equipped with {7f05}
0x0115|Torneko: "Hmmm... It's a primitive weapon made from a wooden knob. Torneko: "Until you can't buy an expensive weapon, you'll be using this weapon.
0x0116|Torneko picked up {7f17} and put it down.
0x0117|Torneko: "Looks like I can equip it too. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x0118|{7f47} {7f05}
0x0119|.... {7f05}
0x011A|{7f11}. {7f05}
0x011B|{7f11}, {7f12}. {7f05}
0x011C|{7f11}, {7f12}, {7f13}. {7f05}
0x011D|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x011E|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x011F|Torneko: “This can be equipped with {7f05}
0x0120|Torneko: ``It's a sword made of copper. It's a very famous weapon used by travelers. Torneko: ...However, since it's made of copper, you can't expect it to have strong attack power.
0x0121|Torneko picked up {7f17} and put it down.
0x0122|Torneko: ``Looks like I can't equip it. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x0123|{7f47} {7f05}
0x0124|.... {7f05}
0x0125|{7f11}. {7f05}
0x0126|{7f11}, {7f12}. {7f05}
0x0127|{7f11}, {7f12}, {7f13}. {7f05}
0x0128|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x0129|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x012A|Torneko: “This can be equipped with {7f05}
0x012B|Torneko: "Hmm... It seems like a weapon for people who fight without a sword, such as martial artists. Torneko: With a weapon like this, martial artists can hope for power-ups just like warriors.
0x012C|Torneko picked up {7f17} and put it down.
0x012D|Torneko: "Looks like I can equip it too. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x012E|{7f47} {7f05}
0x012F|.... {7f05}
0x0130|{7f11}. {7f05}
0x0131|{7f11}, {7f12}. {7f05}
0x0132|{7f11}, {7f12}, {7f13}. {7f05}
0x0133|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x0134|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x0135|Torneko: “This can be equipped with {7f05}
0x0136|Torneko: "Hmm... This is a rather special weapon. Torneko: It deals damage to the enemy by swinging the hook at the end of the chain.
0x0137|Torneko picked up {7f17} and put it down.
0x0138|Torneko: "Looks like I can equip it too. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x0139|{7f47} {7f05}
0x013A|.... {7f05}
0x013B|{7f11}. {7f05}
0x013C|{7f11}, {7f12}. {7f05}
0x013D|{7f11}, {7f12}, {7f13}. {7f05}
0x013E|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x013F|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x0140|Torneko: “This can be equipped with {7f05}
0x0141|Torneko: ``It's a spear made of iron.Soldiers in castles love to use this spear.
0x0142|Torneko picked up {7f17} and put it down.
0x0143|Torneko: ``Looks like I can't equip it. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x0144|{7f47} {7f05}
0x0145|.... {7f05}
0x0146|{7f11}. {7f05}
0x0147|{7f11}, {7f12}. {7f05}
0x0148|{7f11}, {7f12}, {7f13}. {7f05}
0x0149|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x014A|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x014B|Torneko: “This can be equipped with {7f05}
0x014C|Torneko: Hmm... That's a sword made from well-crafted steel. Torneko: If you're equipped with this, you'll be able to show everyone around you that you're a veteran warrior.
0x014D|Torneko picked up {7f17} and put it down.
0x014E|Torneko: ``Looks like I can't equip it. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x014F|{7f47} {7f05}
0x0150|.... {7f05}
0x0151|{7f11}. {7f05}
0x0152|{7f11}, {7f12}. {7f05}
0x0153|{7f11}, {7f12}, {7f13}. {7f05}
0x0154|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x0155|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x0156|Torneko: “This can be equipped with {7f05}
0x0157|Torneko: "Hmm... This is an ax used for battle. Torneko: It has strong attack power, but the problem is that it's difficult to handle. There are only a few people who can equip it.
0x0158|Torneko picked up {7f17} and put it down.
0x0159|Torneko: "Oh? This is something mysterious. Torneko: It's a card, so of course it can be used as a tool for fortune-telling, but... Torneko: Not only that, but it seems to be extremely useful as a weapon. Torneko: As expected, the only person who can equip this is Minea, who is a fortune teller. Torneko: I don't know anything more than that, but anyway, this is a valuable item. Torneko: Please cherish it and never sell it.
0x015A|Torneko picked up {7f17} and put it down.
0x015B|Torneko: "Looks like I can equip it too. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x015C|{7f47} {7f05}
0x015D|.... {7f05}
0x015E|{7f11}. {7f05}
0x015F|{7f11}, {7f12}. {7f05}
0x0160|{7f11}, {7f12}, {7f13}. {7f05}
0x0161|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x0162|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x0163|Torneko: “This can be equipped with {7f05}
0x0164|Torneko: "Hmmm... Unlike a large sword, it's a weapon that can be used in small turns. Torneko: It's quite sharp and has greater attack power than it looks.
0x0165|Torneko picked up {7f17} and put it down.
0x0166|Torneko: ``Looks like I can't equip it. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x0167|{7f47} {7f05}
0x0168|.... {7f05}
0x0169|{7f11}. {7f05}
0x016A|{7f11}, {7f12}. {7f05}
0x016B|{7f11}, {7f12}, {7f13}. {7f05}
0x016C|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x016D|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x016E|Torneko: “This can be equipped with {7f05}
0x016F|Torneko: "Hmm... This is a spear made from special silver. Torneko: "Compared to swords, it's lightweight, so even people with weaker arms can handle it.
0x0170|Torneko picked up {7f17} and put it down.
0x0171|Torneko: "Looks like I can equip it too. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x0172|{7f47} {7f05}
0x0173|.... {7f05}
0x0174|{7f11}. {7f05}
0x0175|{7f11}, {7f12}. {7f05}
0x0176|{7f11}, {7f12}, {7f13}. {7f05}
0x0177|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x0178|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x0179|Torneko: “This can be equipped with {7f05}
0x017A|Torneko: ``It's a crossbow that can hit you even from a distance.'' Torneko: ``By the way, that's an advertising slogan used when selling crossbows.
0x017B|Torneko picked up {7f17} and put it down.
0x017C|Torneko: "...Hmmm. This is a legendary weapon of our merchant friends! Torneko: It's a very good weapon that allows you to calculate accurately even during battle. Torneko: Of course I can equip this. Torneko: If you sell it to a shop, it will become <GOLD> Gold.
0x017D|Torneko picked up {7f17} and put it down.
0x017E|Torneko: ``Looks like I can't equip it. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x017F|{7f47} {7f05}
0x0180|.... {7f05}
0x0181|{7f11}. {7f05}
0x0182|{7f11}, {7f12}. {7f05}
0x0183|{7f11}, {7f12}, {7f13}. {7f05}
0x0184|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x0185|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x0186|Torneko: “This can be equipped with {7f05}
0x0187|Torneko: "Hmmm? This looks like a fan made of iron. Torneko: A fan was originally a tool for creating wind. Well, it's like a fan. Torneko: But this fan was made as a weapon, so it's not suitable for fanning.
0x0188|Torneko picked up {7f17} and put it down.
0x0189|Torneko: "I can equip it too. In any case, you shouldn't give up on this weapon.
0x018A|{7f47} {7f05}
0x018B|.... {7f05}
0x018C|{7f11}. {7f05}
0x018D|{7f11}, {7f12}. {7f05}
0x018E|{7f11}, {7f12}, {7f13}. {7f05}
0x018F|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x0190|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x0191|Torneko: “This can be equipped with {7f05}
0x0192|Torneko: "Wow! This is a stray metal sword that every adventurer dreams of!" Torneko: "It's not only strong, but even a relatively weak person can equip it. It's truly the strongest sword on earth! Torneko: "It's also a weapon with a lot of mysteries, as nothing about how it's made has been disclosed to the public. Torneko: Actually, there's a theory that it doesn't use stray metal as a material, but...
0x0193|Torneko picked up {7f17} and put it down.
0x0194|Torneko: ``Looks like I can't equip it. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x0195|{7f47} {7f05}
0x0196|.... {7f05}
0x0197|{7f11}. {7f05}
0x0198|{7f11}, {7f12}. {7f05}
0x0199|{7f11}, {7f12}, {7f13}. {7f05}
0x019A|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x019B|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x019C|Torneko: “This can be equipped with {7f05}
0x019D|Torneko: "Hmm... It's an iron weapon with a generous amount of poison applied to the tip. Torneko: If you don't have anything, you can catch your opponent off-guard and attack their vital points. Torneko: If this one is chosen as a vital point, most monsters will fall for it.
0x019E|Torneko picked up {7f17} and put it down.
0x019F|Torneko: ``Looks like I can't equip it. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x01A0|{7f47} {7f05}
0x01A1|.... {7f05}
0x01A2|{7f11}. {7f05}
0x01A3|{7f11}, {7f12}. {7f05}
0x01A4|{7f11}, {7f12}, {7f13}. {7f05}
0x01A5|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x01A6|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x01A7|Torneko: “This can be equipped with {7f05}
0x01A8|Torneko: "Hmmm... This is an interesting staff. Torneko: It seems that you can use this staff to convert your magical power into attack power. Torneko: It's very useful if you equip it right away, such as when a spell is blocked by a monster.
0x01A9|Torneko picked up {7f17} and put it down.
0x01AA|Torneko: ``Looks like I can't equip it. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x01AB|{7f47} {7f05}
0x01AC|.... {7f05}
0x01AD|{7f11}. {7f05}
0x01AE|{7f11}, {7f12}. {7f05}
0x01AF|{7f11}, {7f12}, {7f13}. {7f05}
0x01B0|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x01B1|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x01B2|Torneko: “This can be equipped with {7f05}
0x01B3|Toruneko: ``Wow! This is a world-famous Ikazuchi staff. Toruneko: This weapon will only demonstrate its true power when used as a tool in battle.
0x01B4|Torneko picked up {7f17} and put it down.
0x01B5|Torneko: ``Looks like I can't equip it. Torneko: If I sell it to a store, it will become <GOLD> Gold.
0x01B6|{7f47} {7f05}
0x01B7|.... {7f05}
0x01B8|{7f11}. {7f05}
0x01B9|{7f11}, {7f12}. {7f05}
0x01BA|{7f11}, {7f12}, {7f13}. {7f05}
0x01BB|{7f11}, {7f12}, {7f13}, {7f14}. {7f05}
0x01BC|{7f11}, {7f12}, {7f13}, {7f14}, {7f05}
0x01BD|Torneko: “This can be equipped with {7f05}
0x01BE|Torneko: "Nuo! Oh... it's heavy..." Torneko: "No... this is a very impressive thing. But... Torneko: It's extremely difficult to hit an enemy with such a heavy weapon.
0x01BF|Torneko picked up {7f17} and put it down.
